

query string = "roaming through a forest,trod"




THE LIST OF DOCUMENTS BASED ON RANK
Relevance score    RANK          TALE      
Relevance score 30  180   The Eagle and the Kite 
 

Relevance score 30  181   The Walnut-Tree 
 

Relevance score 30  182   The Oxen and the Butchers 
 

Relevance score 30  183   The Dog and the Oyster 
 

Relevance score 30  184   The Hare and the Hound 
 

Relevance score 30  185   The Partridge and the Fowler 
 

Relevance score 30  186   The Lamp 
 

Relevance score 30  187   The Prophet 
 

Relevance score 30  188   The Piglet, the Sheep, and the Goat 
 

Relevance score 30  189   The Town Mouse and the Country Mouse 
 

Relevance score 30  190   The Mischievous Dog 
 

Relevance score 30  191   The Two Travelers and the Axe 
 

Relevance score 30  192   The Birds, the Beasts, and the Bat 
 

Relevance score 30  193   The Laborer and the Snake 
 

Relevance score 30  194   The Lion and the Boar 
 

Relevance score 30  195   The Serpent and the Eagle 
 

Relevance score 26  196   Jupiter, Neptune, Minerva, and Momus 
 

Relevance score 26  197   The Lion and the Three Bulls 
 

Relevance score 26  198   The Fox and the Bramble 
 

Relevance score 26  199   The Fox and the Mask 
 

Relevance score 26  200   The Flea and the Wrestler 
 

Relevance score 26  201   The Lion, the Wolf, and the Fox 
 

Relevance score 26  202   The Mule 
 

Relevance score 26  203   The Lark Burying Her Father 
 

Relevance score 26  204   The Two Pots 
 

Relevance score 26  205   The Two Frogs 
 

Relevance score 26  206   The Cat and Venus 
 

Relevance score 26  207   The Farmer and the Snake 
 

Relevance score 26  208   The Man and the Satyr 
 

Relevance score 26  209   The Grasshopper and the Owl 
 

Relevance score 26  210   The Mouse and the Bull 
 

Relevance score 26  211   The Jackdaw and the Fox 
 

Relevance score 26  212   The Fox and the Lion 
 

Relevance score 26  213   The Lion and the Dolphin 
 

Relevance score 26  214   The Lion in a Farmyard 
 

Relevance score 26  215   The Old Man and Death 
 

Relevance score 26  216   The Seaside Travelers 
 

Relevance score 26  217   Hercules and the Wagoner 
 

Relevance score 26  218   The Bald Knight 
 

Relevance score 26  219   The Ass and the Charger 
 

Relevance score 26  220   The Ass in the Lion's Skin 
 

Relevance score 26  221   The Heifer and the Ox 
 

Relevance score 26  222   The Mules and the Robbers 
 

Relevance score 26  223   The Playful Ass 
 

Relevance score 26  224   The Goat and the Ass 
 

Relevance score 26  225   The Ass and His Driver 
 

Relevance score 26  226   The Wild Boar and the Fox 
 

Relevance score 26  227   The Swallow and the Crow 
 

Relevance score 26  228   The Travelers and the Plane-Tree 
 

Relevance score 26  229   The Oaks and Jupiter 
 

Relevance score 26  230   The Salt Merchant and His Ass 
 

Relevance score 26  231   The Ass and the Grasshopper 
 

Relevance score 26  232   The Two Dogs 
 

Relevance score 26  233   The Wolf and the Lion 
 

Relevance score 26  234   The Monkey and the Camel 
 

Relevance score 26  235   The Wolf and the Sheep 
 

Relevance score 26  236   The Horse and the Ass 
 

Relevance score 26  237   The Wolf and the Goat 
 

Relevance score 26  238   The Dolphins, the Whales, and the Sprat 
 

Relevance score 26  239   The Rivers and the Sea 
 

Relevance score 26  240   The Trees and the Axe 
 

Relevance score 23  241   The Miller, His Son, and Their Ass 
 

Relevance score 23  242   The Fighting Cocks and the Eagle 
 

Relevance score 23  243   The Fawn and His Mother 
 

Relevance score 23  244   The Seagull and the Kite 
 

Relevance score 23  245   The Dog in the Manger 
 

Relevance score 23  246   The Fox and the Leopard 
 

Relevance score 23  247   The Weasel and the Mice 
 

Relevance score 23  248   The Dog, the Cock, and the Fox 
 

Relevance score 23  249   The Shepherd and the Dog 
 

Relevance score 23  250   The Gnat and the Lion 
 

Relevance score 23  251   The Dove and the Crow 
 

Relevance score 23  252   The Quack Frog 
 

Relevance score 23  253   The Peasant and the Eagle 
 

Relevance score 23  254   The Mother and the Wolf 
 

Relevance score 23  255   The Camel and the Arab 
 

Relevance score 23  256   The Wolf and the Horse 
 

Relevance score 23  257   The Crow and Mercury 
 

Relevance score 23  258   The Sick Lion 
 

Relevance score 23  259   The Kites and the Swans 
 

Relevance score 23  260   The Old Woman and the Wine-Jar 
 

Relevance score 23  261   The Hunter and the Woodman 
 

Relevance score 23  262   The Dogs and the Hides 
 

Relevance score 23  263   The Ass, the Cock, and the Lion 
 

Relevance score 23  264   The Two Frogs 
 

Relevance score 23  265   The Ass Carrying the Image 
 

Relevance score 23  266   Mercury and the Sculptor 
 

Relevance score 23  267   The Bitch and Her Whelps 
 

Relevance score 23  268   The Stag, the Wolf, and the Sheep 
 

Relevance score 23  269   The Thief and the Innkeeper 
 

Relevance score 23  270   The Birdcatcher, the Partridge, and the Cock 
 

Relevance score 20  271   The Lion, the Mouse, and the Fox 
 

Relevance score 20  272   The Wolf and the Shepherd 
 

Relevance score 20  273   The Hen and the Swallow 
 

Relevance score 20  274   The Belly and the Members 
 

Relevance score 20  275   The Hawk, the Kite, and the Pigeons 
 

Relevance score 20  276   The Traveler and Fortune 
 

Relevance score 20  277   The Bee and Jupiter 
 

Relevance score 20  278   The Lion, the Fox, and the Ass 
 

Relevance score 20  279   The Sick Kite 
 

Relevance score 20  280   The Owl and the Birds 
 

Relevance score 20  281   The Bald Man and the Fly 
 

Relevance score 20  282   The Rich Man and the Tanner 
 

Relevance score 20  283   The Horse and His Rider 
 

Relevance score 20  284   The Farmer and the Stork 
 

Relevance score 20  285   The Camel 
 

Relevance score 20  286   The Fox and the Monkey 
 

Relevance score 20  287   The Ass and the Horse 
 

Relevance score 20  288   The Hares and the Frogs 
 

Relevance score 20  289   The Woman and Her Hen 
 

Relevance score 20  290   The Lion, the Bear, and the Fox 
 

Relevance score 16  291   The Dog's House 
 

Relevance score 16  292   The Crow and the Pitcher 
 

Relevance score 16  293   The Mice in Council 
 

Relevance score 16  294   The Huntsman and the Fisherman 
 

Relevance score 16  295   The Lion and the Fox 
 

Relevance score 16  296   The Fisherman and the Little Fish 
 

Relevance score 16  297   The Dog and the Cook 
 

Relevance score 16  298   The Horse and the Stag 
 

Relevance score 16  299   The She-Goats and Their Beards 
 

Relevance score 16  300   The Boasting Traveler 
 

Relevance score 16  301   The Ass and His Purchaser 
 

Relevance score 16  302   The Camel and Jupiter 
 

Relevance score 16  303   The Boy and the Filberts 
 

Relevance score 16  304   The Hen and the Golden Eggs 
 

Relevance score 13  305   The Fox and the Woodcutter 
 

Relevance score 13  306   The Trees Under the Protection of the Gods 
 

Relevance score 13  307   The Monkey and the Dolphin 
 

Relevance score 13  308   The Manslayer 
 

Relevance score 13  309   The Fox and the Grapes 
 

Relevance score 13  310   The Cat and the Birds 
 

